layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
2,38,0.99963987,0.00059614924,0.0022492362,0.05310136,0.0,0.0037724460540214276,1.0,0.9645390070921985,0.9872340425531914,0.9851063829787235,5.18504
3,38,0.9996812,0.00061270443,0.0025913639,0.055817068,0.0,0.011317338162064282,1.0,0.9858156028368795,0.9744680851063829,0.9765957446808512,6.585623
4,38,0.9996417,0.0007166076,0.0024820429,0.049773067,0.0,0.0,1.0,0.9574468085106383,0.9787234042553191,0.9808510638297873,6.7928605
5,38,0.9996288,0.00066704664,0.0017247355,0.035275593,0.0,0.0,1.0,1.0,0.9957446808510638,0.9893617021276596,5.4740605
0,39,0.99994123,0.00020810493,0.0007159907,0.024051994,0.0,0.0,1.0,1.0,1.0,0.996,1.6517751
1,39,0.99974084,0.0004798304,0.0019582883,0.08955753,0.0,0.006666666666666667,1.0,0.98,0.992,0.9860000000000001,4.352992
2,39,0.99958825,0.00060917373,0.0022481692,0.06045842,0.0,0.01,1.0,0.98,0.992,0.9839999999999999,5.56873
3,39,0.9996305,0.00063676725,0.0026199312,0.059808373,0.0,0.01,1.0,0.98,0.9840000000000001,0.9839999999999999,7.132758
4,39,0.99962914,0.0007347216,0.0023546533,0.04212296,0.0,0.0,1.0,0.9866666666666667,0.9760000000000001,0.99,7.856574
5,39,0.99940175,0.00071969593,0.0019964864,0.028501958,0.0,0.0,1.0,0.9933333333333333,0.9880000000000001,0.982,6.171316
0,40,0.99996424,0.0007041252,0.0013568884,0.010236442,0.0,0.0,1.0,1.0,0.9833333333333334,1.0,1.3053432
1,40,0.99991786,0.0011399087,0.0027614012,0.033106,0.0,0.0,1.0,1.0,0.9666666666666668,0.9833333333333334,5.4805613
2,40,0.99985856,0.0014995238,0.003443715,0.02907376,0.0,0.0,1.0,1.0,1.0,1.0,3.8635936
3,40,0.99986976,0.0015892225,0.003796418,0.03343594,0.0,0.0,1.0,1.0,1.0,0.9916666666666667,6.255947
4,40,0.99976766,0.0022934696,0.004819109,0.041481346,0.0,0.0,1.0,0.9722222222222222,1.0,0.9916666666666667,7.9122305
5,40,0.99987173,0.0018082756,0.0034720763,0.031982124,0.0,0.0,1.0,1.0,0.9666666666666667,0.9916666666666667,4.734883
0,41,0.9999554,0.0005831486,0.0012952175,0.019524693,0.0,0.0,1.0,1.0,1.0,0.9875,1.5267131
1,41,0.999819,0.0012530935,0.0033019378,0.043949574,0.0,0.0,1.0,1.0,0.9875,0.98125,5.0150127
2,41,0.99983424,0.0012993995,0.0031695417,0.04693374,0.0,0.0,1.0,1.0,0.975,1.0,4.3425994
3,41,0.9998639,0.0011361393,0.0032157784,0.04109487,0.0,0.0,1.0,0.9791666666666666,0.9875,0.9875,5.9553776
4,41,0.9996818,0.0021581866,0.005015459,0.05316621,0.0,0.03255208333333333,1.0,0.9375,0.9875,0.975,7.7407985
5,41,0.999826,0.0015885405,0.0037265057,0.046515763,0.0,0.0,1.0,1.0,0.9875,0.98125,5.508876
0,42,0.999963,0.0005702476,0.0012794406,0.014687777,0.0,0.0,1.0,1.0,1.0,1.0,1.4205569
1,42,0.9999168,0.00097540166,0.0024329792,0.024696171,0.0,0.0,1.0,0.9777777777777777,0.9733333333333334,0.9933333333333334,5.1007333
2,42,0.9998013,0.0014237175,0.0037560528,0.04299283,0.0,0.0,1.0,1.0,1.0,0.9933333333333334,5.119811
3,42,0.9998027,0.0013680566,0.0040258896,0.061268568,0.0,0.1111111111111111,1.0,1.0,0.9466666666666668,0.9866666666666667,5.443158
4,42,0.99977356,0.0017803487,0.004074495,0.036204338,0.0,0.0,1.0,0.9555555555555555,0.9733333333333333,0.9933333333333334,6.453236
5,42,0.9998212,0.0014700093,0.0041042175,0.07379371,0.0,0.1111111111111111,1.0,0.9777777777777777,0.9866666666666667,0.9933333333333334,6.255379
0,43,0.9999457,0.0006911218,0.0015339679,0.01643151,0.0,0.0,1.0,1.0,0.9857142857142858,1.0,1.5246834
1,43,0.9999073,0.001054095,0.0025873783,0.024414122,0.0,0.0,1.0,1.0,1.0,0.9785714285714286,4.441049
2,43,0.99981904,0.0014122007,0.0035764112,0.039979637,0.0,0.0,1.0,0.9761904761904762,0.9857142857142858,0.9857142857142858,4.0714054
3,43,0.99983513,0.0014118368,0.0038684332,0.04078412,0.0,0.0,1.0,1.0,1.0,0.9857142857142858,5.6781077
4,43,0.99970216,0.0020129445,0.0044589643,0.03679177,0.0,0.0,1.0,0.9285714285714286,0.9714285714285714,0.9857142857142858,5.970802
