layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
10,29,0.9997266,0.0006995478,0.003143604,0.06902358,0.0,0.04616805170821791,1.0,0.9561403508771928,0.9684210526315788,0.9842105263157894,4.669478
11,29,0.9996067,0.0008811242,0.0035371748,0.097462416,0.0,0.07502308402585411,1.0,1.0,0.9736842105263158,0.9789473684210526,3.8000953
0,30,0.9999765,0.0001544915,0.0006146576,0.01781571,0.0,0.0,1.0,0.9922480620155039,0.9953488372093022,0.9953488372093022,0.7327273
1,30,0.9996643,0.00062879437,0.0019161106,0.041203946,0.0,0.0,0.9767441860465116,0.9689922480620156,0.9813953488372094,0.9837209302325582,1.9322151
2,30,0.99619716,0.0017051038,0.007198907,0.16478565,0.05859022895258699,0.4687218316206959,0.8372093023255814,0.9379844961240309,0.9720930232558139,0.9930232558139533,5.090346
3,30,0.99624157,0.001939621,0.008540629,0.23414677,0.09464575446187128,0.6670272219217596,1.0,0.9689922480620154,0.9767441860465116,0.969767441860465,7.850524
4,30,0.99875915,0.0012827996,0.005205652,0.10988736,0.009013881377321075,0.19830539030106364,1.0,0.9689922480620154,0.9674418604651162,0.9767441860465116,6.6418157
5,30,0.99915737,0.0010623265,0.004719076,0.10236272,0.0045069406886605375,0.17126374616910042,1.0,0.9689922480620153,0.958139534883721,0.9744186046511628,6.49174
6,30,0.9993001,0.0010123962,0.0041368464,0.08511102,0.0,0.11718045790517398,1.0,0.9922480620155039,0.9767441860465116,0.9813953488372094,5.2392244
7,30,0.99946535,0.00081107387,0.0040071113,0.11141494,0.0045069406886605375,0.13070127997115558,1.0,0.9689922480620154,0.9813953488372094,0.9883720930232558,5.963655
8,30,0.99925786,0.0010134003,0.004315568,0.118419886,0.0045069406886605375,0.11718045790517398,1.0,0.9612403100775193,0.9720930232558139,0.9813953488372092,4.9606457
9,30,0.9997059,0.0006437743,0.0030438174,0.06830093,0.0,0.04957634757526591,1.0,0.9534883720930233,0.9720930232558139,0.9744186046511628,5.025905
10,30,0.99969816,0.0006497123,0.0030991933,0.07310486,0.0,0.04957634757526591,1.0,0.9534883720930233,0.9534883720930233,0.9883720930232558,5.1754837
11,30,0.999744,0.00066225865,0.0025617343,0.06435895,0.0,0.022534703443302686,1.0,0.9922480620155039,0.9813953488372094,0.9837209302325582,3.5310638
0,31,0.9999797,0.00014890198,0.00060672517,0.020883024,0.0,0.0,1.0,1.0,0.9952380952380951,0.9952380952380951,0.7392974
1,31,0.99967533,0.0006255634,0.001868118,0.043466687,0.0,0.0,0.9761904761904762,1.0,0.9761904761904762,0.9904761904761905,1.9172598
2,31,0.99755436,0.0014692751,0.0060451273,0.17807719,0.01889644746787604,0.26455026455026454,0.8809523809523809,0.9603174603174603,0.980952380952381,0.9952380952380951,5.0576477
3,31,0.99677,0.0019443466,0.008172354,0.16394341,0.08030990173847317,0.6566515495086924,1.0,0.9682539682539684,0.9761904761904762,0.9880952380952381,8.02738
4,31,0.9986318,0.0013345347,0.0057157776,0.116734356,0.01889644746787604,0.26455026455026454,1.0,0.9682539682539684,0.9761904761904762,0.9833333333333334,6.227291
5,31,0.99918073,0.0011093272,0.004828909,0.096232474,0.0,0.20786092214663643,1.0,0.992063492063492,0.980952380952381,0.9833333333333334,7.572863
6,31,0.99920803,0.0010562299,0.0045406767,0.0912438,0.0,0.1464474678760393,1.0,0.9682539682539681,0.9619047619047618,0.9785714285714284,5.489515
7,31,0.9995441,0.000809842,0.0037529299,0.08133161,0.0,0.08975812547241119,1.0,0.9444444444444444,0.9904761904761905,0.9833333333333333,5.7778435
8,31,0.99930596,0.0010227684,0.0042114807,0.088018656,0.0,0.12755102040816327,1.0,0.9444444444444444,0.9714285714285713,0.9857142857142859,5.0581737
9,31,0.99972117,0.00063723774,0.0030398038,0.06982979,0.0,0.03306878306878307,1.0,0.984126984126984,0.980952380952381,0.9880952380952381,5.130166
10,31,0.99976116,0.00063089177,0.0028724005,0.07837844,0.0,0.01889644746787604,1.0,0.9682539682539681,0.9904761904761903,0.9928571428571429,5.185283
11,31,0.99974614,0.0006585426,0.002620985,0.07747665,0.0,0.02834467120181406,1.0,0.9920634920634922,0.9523809523809523,0.9809523809523808,3.5414522
0,32,0.99998176,0.00013714684,0.0005212203,0.011598408,0.0,0.0,1.0,1.0,0.982608695652174,0.9956521739130434,0.69185245
1,32,0.99957466,0.00066005776,0.0020767578,0.049308807,0.0,0.0,0.9782608695652174,0.9782608695652172,0.9608695652173912,0.9826086956521738,2.1406038
2,32,0.9974023,0.00144795,0.005754301,0.13543344,0.023629489603024575,0.24810964083175802,0.9782608695652174,0.9565217391304348,0.9782608695652174,0.9891304347826086,5.6467957
3,32,0.99761826,0.0014591749,0.0066268933,0.18044895,0.03938248267170762,0.3938248267170762,1.0,0.9492753623188406,0.9826086956521738,0.9847826086956522,6.77335
4,32,0.9987279,0.001183923,0.005217025,0.106208146,0.011814744801512287,0.23629489603024575,1.0,0.9565217391304346,0.9782608695652174,0.9673913043478259,6.171418
5,32,0.99913406,0.0009953541,0.004583158,0.09650725,0.0,0.18509766855702584,1.0,0.9492753623188406,0.9695652173913042,0.9782608695652174,6.265518
6,32,0.99931353,0.000915864,0.0040246346,0.085505724,0.0,0.11027095148078135,1.0,0.9855072463768115,0.9652173913043478,0.9891304347826086,5.0949044
7,32,0.99947244,0.00075708795,0.003904701,0.11245775,0.003938248267170762,0.12996219281663515,1.0,0.9855072463768115,0.991304347826087,0.9826086956521738,6.4396405
8,32,0.9993005,0.00091519713,0.004002992,0.114904046,0.007876496534341524,0.12208569628229364,1.0,0.9782608695652174,0.9913043478260868,0.9804347826086957,5.2652287
9,32,0.99963975,0.0006684047,0.0032495817,0.08283889,0.0,0.055135475740390676,1.0,0.9637681159420289,0.9608695652173912,0.982608695652174,4.9998035
10,32,0.999603,0.00065245887,0.0034394518,0.10146198,0.003938248267170762,0.07482671707624448,1.0,0.9565217391304348,0.9652173913043478,0.982608695652174,5.0168347
11,32,0.99978673,0.0005910895,0.0023072073,0.06824249,0.0,0.007876496534341524,1.0,0.9927536231884058,0.9652173913043477,0.9760869565217393,3.3832197
0,33,0.9999811,0.00015073037,0.000580957,0.022466004,0.0,0.0,1.0,0.9918699186991871,0.9951219512195121,0.9951219512195121,0.7275988
1,33,0.9996545,0.00064471853,0.0020193446,0.059920073,0.0,0.0049573666468372005,0.975609756097561,0.991869918699187,0.9853658536585367,0.9902439024390244,1.9898484
